base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	lemma
flátszik	flátszok	flátszom	11	18	-0.4595323293784402	-szik	1	nonword	NA	NA	flátsik
flérlik	flérlek	flérlem	23	4	1.5686159179138452	-lik	1	nonword	NA	NA	flérlik
flözlik	flözlök	flözlöm	20	7	0.965080896043587	-lik	1	nonword	NA	NA	flözlik
flüröslik	flüröslök	flüröslöm	20	9	0.7419373447293773	-lik	2	nonword	NA	NA	flüröšlik
flűmlik	flűmlök	flűmlöm	24	5	1.4271163556401458	-lik	1	nonword	NA	NA	flűmlik
flűröklik	flűröklök	flűröklöm	17	12	0.32542240043462795	-lik	2	nonword	NA	NA	flűröklik
fogadkozik	fogadkozok	fogadkozom	42	112	-0.9661877030187782	zik	3	corpus	8046	8570080167	fogadkozik
fogalmazódik	fogalmazódok	fogalmazódom	2	2	0	NA	4	corpus	53804	8570080167	fogalmazódik
foglalatoskodik	foglalatoskodok	foglalatoskodom	53	397	-1.9974679587201631	NA	5	corpus	11387	8570080167	foglalatoškodik
foglalkozik	foglalkozok	foglalkozom	8547	92318	-2.3795526333551416	zik	3	corpus	1809823	8570080167	foglalkozik
fogyatkozik	fogyatkozok	fogyatkozom	2	42	-2.662587827025453	zik	3	corpus	8930	8570080167	foḏatkozik
